Abrera;Baix Llobregat
Modifica les dades a Wikidata;
Escudo de Aguilar de Segarra (Barcelona).svg;
Aguilar de Segarra;Bages
Modifica les dades a Wikidata;
Escut d'Aiguafreda.svg;
Aiguafreda;Vallès Oriental
Modifica les dades a Wikidata;
Escut d'Alella.svg;
Alella;Maresme
Modifica les dades a Wikidata;
Escut d'Alpens.svg;
Alpens;Osona
Modifica les dades a Wikidata;
Escut d'Arenys de Mar.svg;
Arenys de Mar;Maresme
Modifica les dades a Wikidata;
Escut d'Arenys de Munt.svg;
Arenys de Munt;Maresme
Modifica les dades a Wikidata;
Escut d'Argençola.svg;
Argençola;Anoia
Modifica les dades a Wikidata;
Escut d'Argentona.svg;
Argentona;Maresme
Modifica les dades a Wikidata;
Escut d'Artés.svg;
Artés;Bages
Modifica les dades a Wikidata;
Escut d'Avià.svg;
Avià;Berguedà
Modifica les dades a Wikidata;
Escut d'Avinyó.svg;
Avinyó;Bages
Modifica les dades a Wikidata;
Escut d'Avinyonet del Penedès.svg;
Avinyonet del Penedès;Alt Penedès
Modifica les dades a Wikidata;
Escut de badalona.PNG;
Badalona;Barcelonès
Modifica les dades a Wikidata;
Escut de Badia del Vallès.svg;
Badia del Vallès;Vallès Occidental
Modifica les dades a Wikidata;
Escut de Bagà.svg;
Bagà;Berguedà
Modifica les dades a Wikidata;
Escut de Balenyà.svg;
Balenyà;Osona
Modifica les dades a Wikidata;
Escut de Balsareny.svg;
Balsareny;Bages
Modifica les dades a Wikidata;
Escut de Barberà del Vallès.svg;
Barberà del Vallès;Vallès Occidental
Modifica les dades a Wikidata;
Escut de Barcelona.svg;
Barcelona;Barcelonès
Modifica les dades a Wikidata;
Escut de Begues (2014).svg;
Begues;Baix Llobregat
Modifica les dades a Wikidata;
Escut de Bellprat.svg;
Bellprat;Anoia
Modifica les dades a Wikidata;
Berga;Berguedà
Modifica les dades a Wikidata;
Escut de Bigues i Riells.svg;
Bigues i Riells;Vallès Oriental
Modifica les dades a Wikidata;
Escut de Borredà.svg;
Borredà;Berguedà
Modifica les dades a Wikidata;
Cabrera d'Anoia;Anoia
Modifica les dades a Wikidata;
Escut de Cabrera de Mar.svg;
Cabrera de Mar;Maresme
Modifica les dades a Wikidata;
Escut de Cabrils.svg;
Cabrils;Maresme
Modifica les dades a Wikidata;
Escut de Calaf.svg;
Calaf;Anoia
Modifica les dades a Wikidata;
Escut de Calders.svg;
Calders;Moianès
Modifica les dades a Wikidata;
Escut de Caldes d'Estrac THV-ES.svg;
Caldes d'Estrac;Maresme
Modifica les dades a Wikidata;
Escut de Caldes de Montbui.svg;
Caldes de Montbui;Vallès Oriental
Modifica les dades a Wikidata;
Escut Calella.svg;
Calella;Maresme
Modifica les dades a Wikidata;
Escut de Calldetenes.svg;
Calldetenes;Osona
Modifica les dades a Wikidata;
Escut de Callús.svg;
Callús;Bages
Modifica les dades a Wikidata;
Escut de Calonge de Segarra.svg;
Calonge de Segarra;Anoia
Modifica les dades a Wikidata;
Escut de Campins.svg;
Campins;Vallès Oriental
Modifica les dades a Wikidata;
Escut de Canet de Mar.jpg;
Canet de Mar;Maresme
Modifica les dades a Wikidata;
