Agullana;Alt Empordà
Modifica les dades a Wikidata;
Escut d'Aiguaviva.svg;
Aiguaviva;Gironès
Modifica les dades a Wikidata;
Escut d'Albanyà.svg;
Albanyà;Alt Empordà
Modifica les dades a Wikidata;
Escut d'Albons.svg;
Albons;Baix Empordà
Modifica les dades a Wikidata;
Alp;Cerdanya
Modifica les dades a Wikidata;
Amer;Selva
Modifica les dades a Wikidata;
Escut d'Anglès.svg;
Anglès;Selva
Modifica les dades a Wikidata;
Escut d'Arbúcies.svg;
Arbúcies;Selva
Modifica les dades a Wikidata;
Escut d'Argelaguer.svg;
Argelaguer;Garrotxa
Modifica les dades a Wikidata;
Escut d'Avinyonet de Puigventós.svg;
Avinyonet de Puigventós;Alt Empordà
Modifica les dades a Wikidata;
Escut de Banyoles.svg;
Banyoles;Pla de l'Estany
Modifica les dades a Wikidata;
Escut de Bàscara.svg;
Bàscara;Alt Empordà
Modifica les dades a Wikidata;
Escut de Begur.svg;
Begur;Baix Empordà
Modifica les dades a Wikidata;
Escut de Bellcaire d'Empordà.svg;
Bellcaire d'Empordà;Baix Empordà
Modifica les dades a Wikidata;
Escut de Besalú.svg;
Besalú;Garrotxa
Modifica les dades a Wikidata;
Escut de Bescanó.svg;
Bescanó;Gironès
Modifica les dades a Wikidata;
Escut de Beuda.svg;
Beuda;Garrotxa
Modifica les dades a Wikidata;
Escut de Biure.svg;
Biure;Alt Empordà
Modifica les dades a Wikidata;
Escut de Blanes.svg;
Blanes;Selva
Modifica les dades a Wikidata;
Boadella i les Escaules;Alt Empordà
Modifica les dades a Wikidata;
Escut de Bolvir.svg;
Bolvir;Cerdanya
Modifica les dades a Wikidata;
Escut de Bordils.svg;
Bordils;Gironès
Modifica les dades a Wikidata;
Escut de Borrassà.svg;
Borrassà;Alt Empordà
Modifica les dades a Wikidata;
Escut de Breda.svg;
Breda;Selva
Modifica les dades a Wikidata;
Escut de Brunyola.svg;
Brunyola i Sant Martí Sapresa;Selva
Modifica les dades a Wikidata;
Escut de Cabanelles.svg;
Cabanelles;Alt Empordà
Modifica les dades a Wikidata;
Escut de Cabanes (Alt Empordà).svg;
Cabanes;Alt Empordà
Modifica les dades a Wikidata;
Coat of Arms of Cadaqués.svg;
Cadaqués;Alt Empordà
Modifica les dades a Wikidata;
Escut de Caldes de Malavella.svg;
Caldes de Malavella;Selva
Modifica les dades a Wikidata;
Escut de Calonge.svg;
Calonge i Sant Antoni;Baix Empordà
Modifica les dades a Wikidata;
Escut de Camós.svg;
Camós;Pla de l'Estany
Modifica les dades a Wikidata;
Escut de Campdevànol.svg;
Campdevànol;Ripollès
Modifica les dades a Wikidata;
Escut de Campelles.svg;
Campelles;Ripollès
Modifica les dades a Wikidata;
Escut de Campllong.svg;
Campllong;Gironès
Modifica les dades a Wikidata;
Escut de Capmany.svg;
Campmany;Alt Empordà
Modifica les dades a Wikidata;
Escut de Camprodon.svg;
Camprodon;Ripollès
Modifica les dades a Wikidata;
Escut de Canet d'Adri.svg;
Canet d'Adri;Gironès
Modifica les dades a Wikidata;
Escut de Cantallops.svg;
Cantallops;Alt Empordà
Modifica les dades a Wikidata;
Escut de Cassà de la Selva.svg;
Cassà de la Selva;Gironès
Modifica les dades a Wikidata;
Castellplatjad'aro.png;
Castell-Platja d'Aro;Baix Empordà
Modifica les dades a Wikidata;
Escut de Castellfollit de la Roca.svg;
Castellfollit de la Roca;Garrotxa
Modifica les dades a Wikidata;
Escut de Castelló d'Empúries.svg;
Castelló d'Empúries;Alt Empordà
Modifica les dades a Wikidata;
Celrà;Gironès
Modifica les dades a Wikidata;
Escut de Cervià de Ter.svg;
Cervià de Ter;Gironès
Modifica les dades a Wikidata;
Escut de Cistella.svg;
Cistella;Alt Empordà
Modifica les dades a Wikidata;
Colera;Alt Empordà
Modifica les dades a Wikidata;
Escut de Colomers.svg;
Colomers;Baix Empordà
Modifica les dades a Wikidata;
Escudo de Corçà.svg;
Corçà;Baix Empordà
Modifica les dades a Wikidata;
Escut de Cornellà del Terri.svg;
Cornellà del Terri;Pla de l'Estany
Modifica les dades a Wikidata;
Crespià;Pla de l'Estany
Modifica les dades a Wikidata;
Cruïlles, Monells i Sant Sadurní de l'Heura;Baix Empordà
Modifica les dades a Wikidata;
Escut de Darnius.svg;
Darnius;Alt Empordà
Modifica les dades a Wikidata;
Das;Cerdanya
Modifica les dades a Wikidata;
el Far d'Empordà;Alt Empordà
Modifica les dades a Wikidata;
Escut del Port de la Selva.svg;
el Port de la Selva;Alt Empordà
Modifica les dades a Wikidata;
Escut d'Espinelves (2014).svg;
Espinelves;Osona
Modifica les dades a Wikidata;
Escut d'Espolla.svg;
Espolla;Alt Empordà
Modifica les dades a Wikidata;
Escut d'Esponellà.svg;
Esponellà;Pla de l'Estany
Modifica les dades a Wikidata;
Escut de Figueres.svg;
Figueres;Alt Empordà
Modifica les dades a Wikidata;
Escut de Flaçà.svg;
Flaçà;Gironès
Modifica les dades a Wikidata;
Escut de Foixà.svg;
Foixà;Baix Empordà
Modifica les dades a Wikidata;
Escut de Fontanals de Cerdanya.svg;
Fontanals de Cerdanya;Cerdanya
Modifica les dades a Wikidata;
Escut de Fontanilles.svg;
Fontanilles;Baix Empordà
Modifica les dades a Wikidata;
Escut de Fontcoberta.svg;
Fontcoberta;Pla de l'Estany
Modifica les dades a Wikidata;
Escut de Forallac.svg;
Forallac;Baix Empordà
Modifica les dades a Wikidata;
Escut de Fornells de la Selva.svg;
Fornells de la Selva;Gironès
Modifica les dades a Wikidata;
Escut de Fortià.svg;
Fortià;Alt Empordà
Modifica les dades a Wikidata;
Escut de Garrigàs.svg;
Garrigàs;Alt Empordà
Modifica les dades a Wikidata;
Garrigoles;Baix Empordà
Modifica les dades a Wikidata;
Escut de Garriguella.svg;
Garriguella;Alt Empordà
Modifica les dades a Wikidata;
Escut de Ger.svg;
Ger;Cerdanya
Modifica les dades a Wikidata;
Spain.Girona.Escut.Timbrat.svg;
Girona;Gironès
Modifica les dades a Wikidata;
Escut de Gombrèn.svg;
Gombrèn;Ripollès
Modifica les dades a Wikidata;
Escut de Gualta.svg;
Gualta;Baix Empordà
Modifica les dades a Wikidata;
Escut de Guils de Cerdanya.svg;
Guils de Cerdanya;Cerdanya
Modifica les dades a Wikidata;
Escut d'Hostalric.svg;
Hostalric;Selva
Modifica les dades a Wikidata;
Escut d'Isòvol.svg;
Isòvol;Cerdanya
Modifica les dades a Wikidata;
Escut de Jafre.svg;
Jafre;Baix Empordà
Modifica les dades a Wikidata;
Escut de Juià.svg;
Juià;Gironès
Modifica les dades a Wikidata;
Escut de l'Armentera.svg;
l'Armentera;Alt Empordà
Modifica les dades a Wikidata;
Escut de l'Escala.svg;
l'Escala;Alt Empordà
Modifica les dades a Wikidata;
Escut de la Bisbal d'Empordà.svg;
la Bisbal d'Empordà;Baix Empordà
Modifica les dades a Wikidata;
Escut de la Cellera de Ter.svg;
la Cellera de Ter;Selva
Modifica les dades a Wikidata;
Escut de la Jonquera.svg;
la Jonquera;Alt Empordà
Modifica les dades a Wikidata;
Escut de la Pera.svg;
la Pera;Baix Empordà
Modifica les dades a Wikidata;
Escut de La Selva de Mar.svg;
la Selva de Mar;Alt Empordà
Modifica les dades a Wikidata;
Escut de Tallada d'Empordà.svg;
la Tallada d'Empordà;Baix Empordà
Modifica les dades a Wikidata;
Escut de la Vajol.svg;
la Vajol;Alt Empordà
Modifica les dades a Wikidata;
Escut de la Vall d'en Bas.svg;
la Vall d'en Bas;Garrotxa
Modifica les dades a Wikidata;
Escut de la Vall de Bianya (2016).svg;
la Vall de Bianya;Garrotxa
Modifica les dades a Wikidata;
Escut de les Llosses.svg;
les Llosses;Ripollès
Modifica les dades a Wikidata;
les Planes d'Hostoles;Garrotxa
Modifica les dades a Wikidata;
Escut de les Preses.svg;
les Preses;Garrotxa
Modifica les dades a Wikidata;
Lladó;Alt Empordà
Modifica les dades a Wikidata;
Escut de Llagostera.svg;
Llagostera;Gironès
Modifica les dades a Wikidata;
Escut de Llambilles.svg;
Llambilles;Gironès
Modifica les dades a Wikidata;
Escut de Llanars.svg;
Llanars;Ripollès
Modifica les dades a Wikidata;
Escut de Llançà.svg;
Llançà;Alt Empordà
Modifica les dades a Wikidata;
Escut de Llers.svg;
Llers;Alt Empordà
Modifica les dades a Wikidata;
Escudo de Llívia.svg;
Llívia;Cerdanya
Modifica les dades a Wikidata;
Escut heraldic Ajuntament de Lloret bàsic.svg;
Lloret de Mar;Selva
Modifica les dades a Wikidata;
Escudo de Massanet de Cabrenys.svg;
Maçanet de Cabrenys;Alt Empordà
Modifica les dades a Wikidata;
Escut de Maçanet de la Selva.svg;
Maçanet de la Selva;Selva
Modifica les dades a Wikidata;
Escut de Madremanya.svg;
Madremanya;Gironès
Modifica les dades a Wikidata;
Maià de Montcal;Garrotxa
Modifica les dades a Wikidata;
Escut de Masarac.svg;
Masarac;Alt Empordà
Modifica les dades a Wikidata;
Escut de Massanes.svg;
Massanes;Selva
Modifica les dades a Wikidata;
Escut de Meranges.svg;
Meranges;Cerdanya
Modifica les dades a Wikidata;
Escut de Mieres.svg;
Mieres;Garrotxa
Modifica les dades a Wikidata;
Mollet de Peralada;Alt Empordà
Modifica les dades a Wikidata;
Escut de Molló.svg;
Molló;Ripollès
Modifica les dades a Wikidata;
Escut de Mont-ras.svg;
Mont-ras;Baix Empordà
Modifica les dades a Wikidata;
Escut de Montagut i Oix.svg;
Montagut i Oix;Garrotxa
Modifica les dades a Wikidata;
Escut de Navata.svg;
Navata;Alt Empordà
Modifica les dades a Wikidata;
Escut d'Ogassa.svg;
Ogassa;Ripollès
Modifica les dades a Wikidata;
