Abella de la Conca;Pallars Jussà
Modifica les dades a Wikidata;
Escudo de Áger (Lérida).svg;
Àger;Noguera
Modifica les dades a Wikidata;
Escut d'Agramunt.svg;
Agramunt;Urgell
Modifica les dades a Wikidata;
Escut d'Aitona.svg;
Aitona;Segrià
Modifica les dades a Wikidata;
Escut d'Alàs i Cerc.svg;
Alàs i Cerc;Alt Urgell
Modifica les dades a Wikidata;
Escut d'Albatàrrec.svg;
Albatàrrec;Segrià
Modifica les dades a Wikidata;
Escut d'Albesa.svg;
Albesa;Noguera
Modifica les dades a Wikidata;
Escut d'Alcanó.svg;
Alcanó;Segrià
Modifica les dades a Wikidata;
Escut d'Alcarràs.svg;
Alcarràs;Segrià
Modifica les dades a Wikidata;
Escut d'Alcoletge.svg;
Alcoletge;Segrià
Modifica les dades a Wikidata;
Escut d'Alfarràs.svg;
Alfarràs;Segrià
Modifica les dades a Wikidata;
Escut d'Alfés THV-ES.svg;
Alfés;Segrià
Modifica les dades a Wikidata;
Escut d'Algerri.svg;
Algerri;Noguera
Modifica les dades a Wikidata;
Escut d'Alguaire.svg;
Alguaire;Segrià
Modifica les dades a Wikidata;
Escut d'Alins.svg;
Alins;Pallars Sobirà
Modifica les dades a Wikidata;
Escut d'Almacelles.svg;
Almacelles;Segrià
Modifica les dades a Wikidata;
Blasó d'Almatret.svg;
Almatret;Segrià
Modifica les dades a Wikidata;
Almenar.JPG;
Almenar;Segrià
Modifica les dades a Wikidata;
Alòs de Balaguer;Noguera
Modifica les dades a Wikidata;
Escut d'Alpicat.svg;
Alpicat;Segrià
Modifica les dades a Wikidata;
Escut d'Alt Àneu.svg;
Alt Àneu;Pallars Sobirà
Modifica les dades a Wikidata;
Escut d'Anglesola.svg;
Anglesola;Urgell
Modifica les dades a Wikidata;
Escut d'Arbeca.svg;
Arbeca;Garrigues
Modifica les dades a Wikidata;
Escut d'Arres.svg;
Arres;Aran
Modifica les dades a Wikidata;
Escut d'Arsèguel.svg;
Arsèguel;Alt Urgell
Modifica les dades a Wikidata;
Escut d'Artesa de Lleida.svg;
Artesa de Lleida;Segrià
Modifica les dades a Wikidata;
Artesa de Segre;Noguera
Modifica les dades a Wikidata;
Escut d'Aspa.svg;
Aspa;Segrià
Modifica les dades a Wikidata;
Escut de Baix Pallars 2009.svg;
Baix Pallars;Pallars Sobirà
Modifica les dades a Wikidata;
Escut d'armes de Balaguer.svg;
Balaguer;Noguera
Modifica les dades a Wikidata;
Escut de Barbens.svg;
Barbens;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Bassella.svg;
Bassella;Alt Urgell
Modifica les dades a Wikidata;
Escut Aranés de Bausen.svg;
Bausen;Aran
Modifica les dades a Wikidata;
Escut de Belianes.svg;
Belianes;Urgell
Modifica les dades a Wikidata;
Escut de Bell-lloc d'Urgell.svg;
Bell-lloc d'Urgell;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Bellaguarda.svg;
Bellaguarda;Garrigues
Modifica les dades a Wikidata;
Bellcaireurgell escut.jpg;
Bellcaire d'Urgell;Noguera
Modifica les dades a Wikidata;
Escut de Bellmunt d'Urgell THV ES.svg;
Bellmunt d'Urgell;Noguera
Modifica les dades a Wikidata;
Escut de Bellpuig.svg;
Bellpuig;Urgell
Modifica les dades a Wikidata;
Escut de Bellver de Cerdanya.svg;
Bellver de Cerdanya;Cerdanya
Modifica les dades a Wikidata;
Escut de Bellvís.svg;
Bellvís;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Benavent de Segrià.svg;
Benavent de Segrià;Segrià
Modifica les dades a Wikidata;
Escut de Biosca.svg;
Biosca;Segarra
Modifica les dades a Wikidata;
Escutbossost.jpg;
Bossòst;Aran
Modifica les dades a Wikidata;
Escudo de Bovera.svg;
Bovera;Garrigues
Modifica les dades a Wikidata;
Escut de Cabanabona.svg;
Cabanabona;Noguera
Modifica les dades a Wikidata;
Escut de Cabó.svg;
Cabó;Alt Urgell
Modifica les dades a Wikidata;
Escudo de Camarasa (en tramitación).svg;
Camarasa;Noguera
Modifica les dades a Wikidata;
Escut de Canejan.svg;
Canejan;Aran
Modifica les dades a Wikidata;
Escut de Castell de Mur.svg;
Castell de Mur;Pallars Jussà
Modifica les dades a Wikidata;
Escut de Castellar de la Ribera.svg;
Castellar de la Ribera;Solsonès
Modifica les dades a Wikidata;
Escut de Castelldans.svg;
Castelldans;Garrigues
Modifica les dades a Wikidata;
Escut de Castellnou de Seana.svg;
Castellnou de Seana;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Castelló de Farfanya.svg;
Castelló de Farfanya;Noguera
Modifica les dades a Wikidata;
Escut de Castellserà.svg;
Castellserà;Urgell
Modifica les dades a Wikidata;
Escut de Cava.svg;
Cava;Alt Urgell
Modifica les dades a Wikidata;
