Aiguamúrcia;Alt Camp
Albinyana;Baix Penedès
Modifica les dades a Wikidata;
Escudo de Alcanar.svg;
Alcanar;Montsià
Modifica les dades a Wikidata;
Escudo de Alcover.svg;
Alcover;Alt Camp
Modifica les dades a Wikidata;
Escut d'Aldover.svg;
Aldover;Baix Ebre
Modifica les dades a Wikidata;
Escut d'Alfara de Carles.svg;
Alfara de Carles;Baix Ebre
Modifica les dades a Wikidata;
Escut d'Alforja.svg;
Alforja;Baix Camp
Modifica les dades a Wikidata;
Escut d'Alió.svg;
Alió;Alt Camp
Modifica les dades a Wikidata;
Escut d'Almoster.svg;
Almoster;Baix Camp
Modifica les dades a Wikidata;
Escut heràldic d'Altafulla.svg;
Altafulla;Tarragonès
Modifica les dades a Wikidata;
Escudo de Amposta.svg;
Amposta;Montsià
Modifica les dades a Wikidata;
Arbolí;Baix Camp
Modifica les dades a Wikidata;
Escut d'Arnes.svg;
Arnes;Terra Alta
Modifica les dades a Wikidata;
Escudo de Ascó.svg;
Ascó;Ribera d'Ebre
Modifica les dades a Wikidata;
Escut de Banyeres del Penedès.svg;
Banyeres del Penedès;Baix Penedès
Modifica les dades a Wikidata;
Escut de Barberà de la Conca.svg;
Barberà de la Conca;Conca de Barberà
Modifica les dades a Wikidata;
Escut de Batea.svg;
Batea;Terra Alta
Modifica les dades a Wikidata;
Escudo de Bellmunt del Priorato (Tarragona).svg;
Bellmunt del Priorat;Priorat
Modifica les dades a Wikidata;
Escut de Bellvei.svg;
Bellvei;Baix Penedès
Modifica les dades a Wikidata;
Escut de Benifallet.svg;
Benifallet;Baix Ebre
Modifica les dades a Wikidata;
Benissanet;Ribera d'Ebre
Modifica les dades a Wikidata;
Escut de Blancafort.svg;
Blancafort;Conca de Barberà
Modifica les dades a Wikidata;
Escut de Bonastre.svg;
Bonastre;Baix Penedès
Modifica les dades a Wikidata;
Bot;Terra Alta
Modifica les dades a Wikidata;
Escut de Botarell.svg;
Botarell;Baix Camp
Modifica les dades a Wikidata;
Escut de Bràfim.svg;
Bràfim;Alt Camp
